no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,gender,marital_status,age,employment_type,years_at_current_job,previous_defaults,collateral_value,region,emi_ratio,target
1,Not Graduate,Yes,1519936,2176668,12,735,1093526,2673313,Female,Married,56,Salaried,12,0,8271620,Semi-Urban,1.43,1
2,Not Graduate,Yes,8393657,12675162,6,618,8095017,4698649,Female,Divorced,30,Student,23,0,94512,Rural,1.51,0
1,Not Graduate,No,3386920,16119803,240,398,9860359,4994162,Male,Married,58,Salaried,23,1,4256818,Semi-Urban,4.76,0
0,Not Graduate,Yes,4026650,5479417,120,339,6745829,680932,Female,Married,61,Business,26,0,2174634,Semi-Urban,1.36,0
1,Not Graduate,No,6751515,11586734,6,632,236933,3680833,Male,Married,58,Salaried,21,0,3473894,Rural,1.72,1
2,Not Graduate,Yes,1382337,4208437,12,806,390802,1330366,Female,Married,39,Business,23,0,7299011,Rural,3.04,1
3,Graduate,No,9329348,3342611,6,711,2617566,374558,Male,Married,49,Business,4,0,8271626,Rural,0.36,1
3,Graduate,Yes,5643006,17335769,6,704,216654,2877573,Male,Divorced,57,Salaried,7,0,4874026,Rural,3.07,0
3,Graduate,Yes,345011,13489997,180,497,3694025,2006197,Female,Divorced,39,Student,23,1,4572151,Urban,39.1,0
4,Graduate,Yes,6020538,5370760,120,819,1340482,200586,Male,Single,46,Govt Job,12,0,7396010,Rural,0.89,1
2,Graduate,Yes,4300907,17533531,240,411,1553793,319722,Female,Single,44,Retired,17,0,4186030,Semi-Urban,4.08,0
3,Graduate,Yes,4231099,7337216,24,633,4030692,2837258,Male,Single,44,Salaried,25,0,7863970,Semi-Urban,1.73,1
4,Graduate,Yes,5763596,9273395,12,606,2775772,4910176,Female,Married,30,Business,12,0,5230362,Semi-Urban,1.61,1
0,Not Graduate,No,898511,19347462,240,648,1224508,4190308,Female,Married,27,Salaried,24,0,6086070,Rural,21.53,1
0,Not Graduate,No,9863933,8963328,24,786,1726876,1893307,Male,Divorced,56,Govt Job,25,0,7486510,Rural,0.91,1
0,Graduate,Yes,7732238,7164447,24,685,2206886,1616697,Female,Divorced,44,Salaried,2,0,2136915,Urban,0.93,1
4,Not Graduate,Yes,1070547,2370890,240,308,6773698,3874870,Male,Divorced,47,Business,2,0,3073246,Urban,2.21,0
0,Graduate,Yes,4470347,134246,60,858,1443679,2601963,Female,Divorced,22,Salaried,22,0,4644949,Urban,0.03,1
3,Graduate,No,2824125,14109645,36,737,2518182,4352662,Female,Married,57,Govt Job,19,0,5062695,Urban,5.0,1
3,Graduate,No,6758737,5934345,180,579,3167553,43393,Male,Married,39,Business,22,1,2010464,Semi-Urban,0.88,0
3,Not Graduate,Yes,3069430,9403244,240,380,9809710,379771,Female,Divorced,54,Business,23,0,3778346,Semi-Urban,3.06,0
4,Graduate,No,4199851,4466515,120,886,6276196,263293,Female,Divorced,44,Salaried,2,0,6667534,Urban,1.06,1
0,Graduate,No,2955464,10478321,60,675,673723,2100199,Female,Single,63,Govt Job,29,0,6227241,Semi-Urban,3.55,1
2,Graduate,No,3284860,12615188,12,761,8810072,2272435,Male,Married,51,Govt Job,12,0,4183470,Semi-Urban,3.84,1
3,Not Graduate,Yes,3801724,16045302,60,401,7223800,4507875,Male,Single,60,Retired,14,0,1554930,Semi-Urban,4.22,0
1,Not Graduate,Yes,2254530,1633654,6,488,2372278,3979277,Male,Married,29,Salaried,0,1,4746155,Semi-Urban,0.72,0
2,Graduate,No,3577465,15498178,120,361,682206,1316690,Female,Single,31,Govt Job,28,1,4705279,Urban,4.33,0
4,Not Graduate,No,2214668,11308276,60,832,7546589,3086632,Male,Divorced,30,Business,28,0,9845205,Urban,5.11,1
4,Not Graduate,Yes,8085619,13151188,120,535,5835907,73968,Male,Married,47,Business,20,0,1453616,Rural,1.63,0
2,Graduate,Yes,8011756,16639814,60,310,7796505,1803778,Male,Divorced,28,Govt Job,12,0,3926725,Semi-Urban,2.08,0
1,Not Graduate,Yes,8290406,1155946,12,492,8985259,2021226,Female,Married,46,Salaried,9,1,687660,Urban,0.14,0
1,Graduate,Yes,898347,10514902,12,523,3116523,4084394,Male,Divorced,57,Govt Job,4,0,3968827,Semi-Urban,11.7,0
0,Graduate,No,2112233,13652067,24,634,3731216,1002296,Male,Divorced,43,Salaried,4,0,6468679,Semi-Urban,6.46,1
4,Graduate,Yes,8277050,9712613,60,688,6145149,348179,Female,Married,34,Business,18,0,5644699,Semi-Urban,1.17,1
4,Graduate,No,9064524,17989920,240,460,1453036,3154840,Male,Single,32,Govt Job,20,0,3538432,Urban,1.98,0
4,Graduate,Yes,6018959,7362618,12,555,3677296,450668,Female,Married,50,Retired,7,0,55104,Urban,1.22,0
2,Graduate,Yes,4315107,14870385,180,643,4334570,2774836,Male,Married,55,Salaried,13,0,7541062,Semi-Urban,3.45,1
1,Graduate,No,5541982,4119049,12,589,9050511,3705122,Male,Married,38,Govt Job,9,0,373299,Rural,0.74,0
3,Graduate,Yes,2525515,6287227,60,372,8402162,516598,Female,Single,32,Business,18,1,2812985,Rural,2.49,0
1,Graduate,Yes,5181692,17129868,120,617,2957445,1433508,Male,Divorced,49,Salaried,16,0,6526807,Urban,3.31,1
2,Not Graduate,Yes,6591322,2244336,6,440,5853386,3934442,Male,Married,62,Salaried,6,0,4909060,Urban,0.34,0
2,Graduate,Yes,2097226,8806084,24,449,6752898,4408446,Male,Married,47,Student,2,1,3081316,Semi-Urban,4.2,0
4,Graduate,Yes,8057183,14129452,12,419,8451278,2165050,Female,Single,32,Salaried,23,0,1063416,Semi-Urban,1.75,0
4,Graduate,No,2416186,11532728,180,872,2132859,2615581,Male,Divorced,62,Salaried,2,0,4753688,Urban,4.77,1
1,Graduate,No,6821495,6186944,36,735,1543633,223969,Male,Married,53,Business,16,1,1902281,Rural,0.91,0
0,Graduate,Yes,6093181,14101107,120,629,5878853,2226031,Male,Single,60,Salaried,11,0,1548422,Rural,2.31,1
4,Not Graduate,Yes,3488957,7386976,240,780,5390524,4494050,Male,Single,59,Business,6,0,5022174,Semi-Urban,2.12,1
4,Not Graduate,No,1920209,2680149,240,359,6482940,2040671,Male,Divorced,28,Student,27,1,1188734,Semi-Urban,1.4,0
1,Not Graduate,Yes,6207277,18428485,36,725,5911592,2014782,Female,Married,52,Salaried,20,0,6417726,Semi-Urban,2.97,1
4,Not Graduate,No,7528259,7211718,120,642,2663798,3138049,Male,Divorced,22,Retired,24,1,845296,Urban,0.96,0
2,Graduate,Yes,6414017,15259647,6,797,8961712,3965237,Female,Married,24,Salaried,4,0,2575043,Rural,2.38,1
2,Graduate,Yes,840068,939395,240,401,1889749,2307324,Female,Single,29,Govt Job,4,0,4073703,Rural,1.12,0
3,Graduate,Yes,513880,6809773,120,698,9387598,3872307,Female,Divorced,48,Salaried,16,0,9270826,Semi-Urban,13.25,1
1,Graduate,Yes,8255692,11517209,120,527,4457417,551131,Male,Married,49,Salaried,15,0,3174749,Urban,1.4,0
4,Not Graduate,No,8137649,18288406,240,556,5475083,577444,Female,Divorced,37,Business,27,0,1676422,Rural,2.25,0
2,Graduate,No,2310324,5693352,6,782,9326672,1175614,Female,Divorced,31,Business,19,0,8257054,Semi-Urban,2.46,1
2,Not Graduate,Yes,3582131,18955868,36,616,2527238,366305,Female,Married,31,Retired,27,1,4616001,Rural,5.29,0
4,Not Graduate,Yes,7640024,7989282,180,657,4675712,4124888,Female,Married,36,Retired,25,0,3593546,Urban,1.05,0
4,Not Graduate,No,1251933,8303771,36,350,3438696,3481992,Female,Divorced,63,Retired,7,0,2079668,Urban,6.63,0
1,Graduate,Yes,1128336,18474402,180,312,7317738,2254802,Female,Married,25,Retired,5,0,4269155,Urban,16.37,0
2,Graduate,Yes,8321591,15086575,240,837,5051485,328158,Male,Divorced,27,Govt Job,20,0,723409,Urban,1.81,1
3,Not Graduate,Yes,1539720,6300034,120,391,1498416,749076,Male,Divorced,39,Govt Job,26,1,4280145,Rural,4.09,0
4,Graduate,No,9112027,4500891,36,795,1601508,2060452,Male,Single,31,Business,21,0,9674121,Urban,0.49,1
0,Not Graduate,Yes,1619622,2867510,240,590,2340438,735667,Male,Single,39,Student,15,0,1025594,Urban,1.77,0
4,Not Graduate,No,7450499,905422,12,466,6023028,4097371,Female,Married,45,Govt Job,25,0,2943746,Rural,0.12,0
1,Graduate,Yes,1939926,6494711,120,673,9204718,2543230,Female,Married,35,Retired,21,0,4565505,Urban,3.35,0
2,Graduate,No,3401566,6128555,6,555,1629708,2437900,Female,Divorced,62,Salaried,12,0,936102,Semi-Urban,1.8,0
3,Not Graduate,Yes,8330474,18017471,240,644,9996368,4677987,Female,Married,28,Salaried,9,0,2110915,Rural,2.16,1
4,Graduate,Yes,9800405,14703004,6,464,7479820,3855406,Male,Divorced,51,Govt Job,8,1,2275087,Semi-Urban,1.5,0
3,Not Graduate,Yes,8469919,9678697,60,640,3960777,3289182,Male,Single,53,Govt Job,12,0,6273842,Rural,1.14,1
4,Graduate,Yes,8576730,3982101,12,315,3726270,719581,Male,Divorced,29,Govt Job,9,1,723044,Semi-Urban,0.46,0
2,Not Graduate,No,9258764,12065810,6,713,5851888,4174182,Male,Married,33,Govt Job,1,0,9878254,Semi-Urban,1.3,1
4,Graduate,No,6787035,17162194,12,739,7765672,1893829,Male,Married,44,Retired,2,0,3655436,Rural,2.53,0
2,Not Graduate,No,3372482,6452865,120,729,4455220,1127510,Male,Married,21,Salaried,10,0,1310452,Semi-Urban,1.91,0
1,Graduate,Yes,7019353,18668899,6,398,7052981,2076696,Male,Divorced,43,Retired,4,0,2988266,Urban,2.66,0
3,Not Graduate,Yes,9034835,5863135,240,643,1208181,738367,Female,Married,27,Business,9,0,3826608,Urban,0.65,1
3,Not Graduate,Yes,3423090,16694367,24,351,6766724,4630139,Male,Divorced,63,Student,8,0,1467132,Urban,4.88,0
1,Not Graduate,No,4818723,2150093,12,786,4287119,4605030,Male,Single,23,Govt Job,27,0,9838023,Rural,0.45,1
0,Graduate,Yes,1074037,11123407,12,766,1636265,3733700,Female,Married,22,Salaried,28,0,1098568,Rural,10.36,1
3,Not Graduate,No,8561285,1702993,24,777,3519721,4896670,Male,Single,51,Govt Job,5,0,9838527,Semi-Urban,0.2,1
0,Graduate,No,9782036,4109481,36,716,2576862,2790326,Female,Married,50,Retired,1,1,4384188,Rural,0.42,0
2,Not Graduate,No,8510783,12693498,36,655,9556922,284423,Female,Divorced,62,Business,1,0,4731540,Rural,1.49,1
2,Graduate,No,5716440,1761573,240,413,2872523,1020158,Male,Single,21,Salaried,20,0,585076,Rural,0.31,0
2,Graduate,No,3643098,7941585,120,671,8077910,1297657,Male,Single,56,Govt Job,13,0,3432590,Semi-Urban,2.18,1
3,Not Graduate,No,9096856,16087672,24,417,3867932,2498717,Male,Single,29,Retired,4,1,3911905,Semi-Urban,1.77,0
1,Graduate,No,961576,2145448,240,454,9411660,578751,Female,Single,60,Retired,18,0,2170372,Urban,2.23,0
3,Graduate,No,3125811,9031500,120,358,1382554,282079,Female,Single,48,Govt Job,26,1,4595643,Semi-Urban,2.89,0
1,Not Graduate,No,7215600,10521132,240,641,2282444,4252491,Female,Single,39,Salaried,27,0,5371214,Semi-Urban,1.46,1
4,Graduate,Yes,8969229,15583012,60,698,644291,1398130,Male,Married,34,Business,29,1,4507159,Semi-Urban,1.74,0
3,Not Graduate,Yes,1705637,3588521,180,649,5158619,2364943,Male,Single,48,Student,0,0,401240,Urban,2.1,0
2,Not Graduate,No,6685183,2649155,60,570,8786537,3993798,Male,Divorced,51,Govt Job,24,0,1786653,Semi-Urban,0.4,0
1,Not Graduate,Yes,455953,11918483,36,768,2293727,928705,Female,Married,52,Business,18,0,5312440,Semi-Urban,26.14,1
2,Not Graduate,Yes,9174233,16859276,12,711,2050623,3350167,Male,Married,44,Business,6,0,4496007,Urban,1.84,0
3,Not Graduate,No,3450808,18938039,6,640,6998941,430377,Male,Divorced,31,Business,22,0,8444281,Urban,5.49,1
1,Not Graduate,Yes,5572126,403344,120,873,2974278,1196836,Female,Divorced,55,Govt Job,22,0,7893594,Urban,0.07,1
0,Not Graduate,No,263292,10812611,36,633,703731,4344122,Male,Married,28,Salaried,15,0,1646288,Rural,41.07,1
4,Graduate,Yes,3948838,16424989,24,457,9706597,3616085,Female,Single,46,Retired,10,1,404526,Urban,4.16,0
3,Not Graduate,No,4499197,8776092,24,655,638482,2242446,Male,Divorced,59,Student,24,1,3345640,Semi-Urban,1.95,0
1,Graduate,No,3027922,7372494,12,560,198059,2632540,Male,Divorced,38,Retired,16,0,78847,Semi-Urban,2.43,0
0,Graduate,No,9051299,14534332,240,545,855385,4459725,Female,Married,30,Retired,8,0,644921,Semi-Urban,1.61,0
3,Graduate,Yes,5359893,9731880,60,809,4486698,4598049,Male,Divorced,24,Govt Job,4,0,1246370,Urban,1.82,1
2,Not Graduate,Yes,9167637,4194890,120,658,6527723,3850613,Male,Divorced,53,Business,6,0,6366653,Urban,0.46,1
4,Not Graduate,Yes,1797787,6515431,180,797,9428702,1150484,Female,Married,25,Business,3,0,9133198,Urban,3.62,1
0,Not Graduate,Yes,5372932,16697010,180,763,2747120,3688807,Female,Divorced,31,Salaried,19,0,3380863,Semi-Urban,3.11,1
3,Not Graduate,No,6466340,6243355,36,489,3880443,3990029,Female,Single,52,Student,6,0,901785,Rural,0.97,0
1,Graduate,Yes,288156,161694,24,642,2840551,179661,Female,Married,33,Salaried,8,1,2404981,Semi-Urban,0.56,0
4,Not Graduate,No,3117569,18880402,24,861,6394218,2732991,Female,Married,22,Govt Job,11,0,6412515,Semi-Urban,6.06,1
3,Not Graduate,No,9546436,9073816,60,566,7787817,1991926,Male,Married,24,Business,11,0,4405983,Urban,0.95,0
0,Graduate,No,2242413,1506094,240,686,4074497,3517311,Female,Divorced,28,Govt Job,27,0,8459103,Rural,0.67,1
0,Not Graduate,Yes,3832223,7402417,24,834,7964881,2203798,Male,Divorced,23,Govt Job,1,0,6319435,Urban,1.93,1
0,Not Graduate,No,8263033,5941328,120,849,4411657,4847488,Female,Single,53,Govt Job,24,0,483944,Urban,0.72,1
3,Not Graduate,Yes,3422833,12773452,6,749,6932346,2982780,Male,Single,34,Govt Job,1,0,7157036,Rural,3.73,1
4,Not Graduate,No,7745752,11878453,6,644,6555954,3808823,Male,Married,42,Salaried,9,0,2324127,Urban,1.53,1
1,Graduate,Yes,8472517,14417076,6,603,3331726,734472,Male,Married,44,Business,13,0,4953288,Rural,1.7,1
4,Graduate,No,9307458,11015833,36,643,8997242,1339964,Male,Single,39,Govt Job,21,0,4578238,Rural,1.18,0
4,Not Graduate,No,3153682,14740591,24,597,7127217,1073580,Female,Married,30,Business,11,0,3572657,Rural,4.67,0
4,Graduate,Yes,7511969,563057,240,659,4096568,287848,Male,Single,57,Salaried,2,0,3548865,Rural,0.07,0
3,Graduate,No,3478810,781363,60,654,3367435,3733215,Female,Single,30,Govt Job,4,0,3517639,Urban,0.22,0
2,Not Graduate,Yes,2450098,1672964,12,684,6452576,2656556,Male,Married,61,Salaried,15,0,4147862,Semi-Urban,0.68,0
3,Graduate,No,712950,8379103,24,607,687601,1456655,Male,Divorced,58,Retired,25,1,2611933,Urban,11.75,0
3,Graduate,Yes,7186557,19674355,240,703,840265,4172018,Female,Divorced,43,Govt Job,5,0,320183,Semi-Urban,2.74,1
3,Graduate,No,1580689,12198336,180,599,4735859,400721,Female,Single,30,Govt Job,7,0,769682,Semi-Urban,7.72,0
2,Not Graduate,Yes,1589620,18326628,60,894,7083517,1159208,Male,Divorced,46,Business,2,0,5700696,Semi-Urban,11.53,1
2,Not Graduate,Yes,9065347,14469972,6,654,4477499,3870448,Male,Divorced,41,Business,8,0,3387387,Urban,1.6,1
3,Not Graduate,No,2069881,19949126,180,698,8156444,4757936,Female,Married,50,Retired,9,0,2902489,Rural,9.64,0
2,Not Graduate,Yes,2352733,18863564,24,856,2496842,3592368,Male,Divorced,29,Govt Job,28,0,9376068,Urban,8.02,1
0,Graduate,No,3160956,18722406,24,548,8878079,551860,Male,Single,36,Student,5,0,570685,Urban,5.92,0
4,Not Graduate,Yes,7440297,351166,180,734,1472187,1848483,Female,Single,46,Govt Job,16,1,1974895,Semi-Urban,0.05,0
3,Graduate,No,7663792,15568373,240,661,8829703,1417903,Male,Single,21,Retired,8,1,4300284,Urban,2.03,0
4,Not Graduate,No,297428,846777,180,601,2847429,1975057,Female,Married,43,Govt Job,29,0,4635388,Semi-Urban,2.85,1
3,Graduate,Yes,1219708,19237016,180,895,6816585,2577370,Male,Single,37,Salaried,18,0,1554614,Semi-Urban,15.77,1
2,Not Graduate,Yes,8254967,19447182,36,880,8784130,2257311,Male,Single,21,Govt Job,2,0,9740923,Urban,2.36,1
2,Graduate,No,3960475,13281829,36,717,3151314,2610831,Male,Married,55,Salaried,22,0,101962,Rural,3.35,1
0,Graduate,Yes,8600598,18084608,240,593,5915006,2721770,Female,Divorced,51,Business,23,1,3091397,Urban,2.1,0
1,Graduate,No,5803407,15120522,120,728,6748614,3311363,Male,Divorced,37,Govt Job,13,1,3744881,Urban,2.61,0
2,Not Graduate,Yes,9067922,4313538,24,566,1270478,2667900,Male,Divorced,26,Salaried,9,1,3998984,Semi-Urban,0.48,0
1,Not Graduate,No,7579871,4882328,120,742,7875640,4059254,Male,Married,28,Govt Job,21,0,2676661,Semi-Urban,0.64,0
3,Not Graduate,No,8378241,10168479,60,842,3243092,2820404,Male,Single,56,Govt Job,5,0,7911388,Rural,1.21,1
0,Not Graduate,Yes,9707237,12997620,12,816,8223292,4416989,Male,Divorced,27,Salaried,24,0,3420585,Semi-Urban,1.34,1
2,Graduate,No,4188734,15618662,6,419,9373419,3883190,Female,Married,27,Student,8,0,2983139,Semi-Urban,3.73,0
1,Graduate,No,3301145,9970741,12,682,4145321,2379508,Female,Divorced,24,Student,29,1,3188404,Rural,3.02,0
3,Not Graduate,Yes,5603797,12962614,6,732,6558486,3224251,Male,Single,50,Govt Job,26,0,9215525,Semi-Urban,2.31,1
3,Not Graduate,Yes,3146107,1938128,180,898,1004963,3637041,Female,Divorced,48,Salaried,1,0,5084458,Urban,0.62,1
1,Graduate,No,9110188,12725660,120,474,9506212,2191808,Female,Married,26,Business,20,0,4609573,Rural,1.4,0
3,Not Graduate,No,9810778,1513944,36,805,7448423,1443049,Female,Divorced,62,Govt Job,18,0,2095823,Semi-Urban,0.15,1
4,Not Graduate,Yes,7253005,14231774,6,606,3294434,4740063,Male,Single,61,Student,10,0,3201202,Urban,1.96,0
2,Graduate,Yes,2397580,1500098,12,608,5251682,715401,Female,Married,26,Salaried,27,1,158504,Semi-Urban,0.63,0
1,Not Graduate,No,9122882,6417121,240,595,3146790,264081,Female,Divorced,38,Business,7,0,2107901,Urban,0.7,0
4,Graduate,No,913808,19578225,60,674,9144683,4073246,Male,Married,23,Salaried,21,0,1746428,Rural,21.42,0
4,Not Graduate,Yes,6888747,4552645,12,498,5255630,1145492,Male,Married,42,Retired,4,1,2377111,Semi-Urban,0.66,0
3,Graduate,No,3074711,6524070,36,312,4888352,462729,Female,Married,55,Salaried,26,0,2814995,Rural,2.12,0
1,Not Graduate,Yes,4476793,14415974,12,608,9985631,4337480,Female,Divorced,34,Business,26,0,6010040,Semi-Urban,3.22,1
4,Not Graduate,No,9716773,8176590,6,832,9558324,608312,Female,Divorced,44,Business,1,0,4012261,Rural,0.84,1
3,Graduate,Yes,6923471,6995963,240,810,8833658,4366730,Female,Married,62,Business,6,0,1248436,Rural,1.01,1
3,Not Graduate,Yes,8529708,1994975,6,835,2161023,449443,Female,Single,41,Business,23,0,7260812,Semi-Urban,0.23,1
3,Not Graduate,No,399972,7436753,240,305,1957900,2563914,Male,Divorced,26,Student,17,0,2160442,Urban,18.59,0
2,Not Graduate,No,6763216,13856908,12,786,2565632,3520824,Female,Divorced,23,Govt Job,9,0,4964763,Urban,2.05,1
3,Not Graduate,No,2470149,17831236,24,691,2165384,598111,Female,Single,53,Salaried,10,1,2561650,Semi-Urban,7.22,0
0,Not Graduate,Yes,8152138,499680,120,879,557165,4596353,Female,Single,47,Govt Job,21,0,4251149,Semi-Urban,0.06,1
2,Graduate,Yes,5758516,10564682,12,413,462311,714601,Female,Divorced,44,Student,18,0,4687725,Semi-Urban,1.83,0
4,Not Graduate,No,5831749,11300655,120,508,2559285,3911047,Male,Single,55,Govt Job,23,1,2622571,Urban,1.94,0
2,Not Graduate,No,5287542,3517560,60,615,3571889,3438105,Female,Married,24,Salaried,4,0,3729566,Rural,0.67,0
0,Graduate,No,1474665,7958736,24,887,6548670,1048778,Female,Married,29,Business,15,0,6454532,Semi-Urban,5.4,1
1,Graduate,Yes,5052908,6567772,12,857,3616385,4781424,Female,Divorced,23,Salaried,17,0,9526669,Urban,1.3,1
3,Not Graduate,Yes,2623522,4698523,60,774,7327457,3168805,Male,Single,42,Business,9,0,1406222,Semi-Urban,1.79,1
2,Not Graduate,No,8615768,10904015,12,824,7906358,2995602,Female,Divorced,55,Salaried,20,0,4693655,Urban,1.27,1
2,Not Graduate,Yes,4654955,17601940,24,502,4759003,4033664,Female,Married,30,Business,0,0,649929,Rural,3.78,0
4,Not Graduate,No,7164213,12585033,24,834,2894807,2298752,Female,Single,37,Salaried,27,0,926133,Urban,1.76,1
2,Not Graduate,Yes,4251063,11819306,60,304,2231175,306533,Female,Married,55,Student,2,0,1942797,Urban,2.78,0
3,Graduate,No,2268056,3114699,240,759,4948000,4800884,Female,Divorced,30,Salaried,25,0,2306333,Urban,1.37,1
2,Not Graduate,No,9419133,16033036,36,511,8913857,3150742,Female,Divorced,28,Govt Job,1,0,1431416,Urban,1.7,0
2,Graduate,Yes,1474860,17579632,180,875,1299432,3366173,Female,Single,55,Business,1,0,1491301,Rural,11.92,1
4,Graduate,No,6032897,4087647,60,790,5156281,1670101,Male,Divorced,62,Govt Job,14,0,9922280,Rural,0.68,1
1,Graduate,Yes,701862,19565050,240,579,4818682,4429038,Female,Single,37,Govt Job,28,0,2866487,Semi-Urban,27.88,0
3,Not Graduate,Yes,3213446,17881091,240,623,2651077,1450541,Male,Married,25,Business,7,0,4811923,Semi-Urban,5.56,0
1,Not Graduate,Yes,6250930,3018670,240,693,5659921,1576523,Male,Married,42,Retired,23,0,1378128,Urban,0.48,0
3,Not Graduate,Yes,5995916,5763317,6,572,2128294,2699162,Female,Divorced,38,Retired,22,0,4494640,Rural,0.96,0
2,Graduate,Yes,4194150,5958837,36,567,8616283,1302965,Male,Married,23,Govt Job,26,0,1086467,Rural,1.42,0
1,Graduate,Yes,200848,18298137,240,843,6386492,815420,Female,Married,40,Govt Job,9,0,3612601,Urban,91.1,1
2,Graduate,No,4611899,3335722,120,898,4151575,1966043,Male,Divorced,52,Salaried,29,0,4449842,Semi-Urban,0.72,1
0,Graduate,No,2837812,2885196,12,837,7959376,4453458,Male,Divorced,31,Salaried,12,0,2697692,Rural,1.02,1
3,Graduate,No,6900593,15274928,180,619,1892210,2073419,Male,Married,35,Retired,5,1,4212298,Rural,2.21,0
4,Graduate,No,2491631,6580492,180,353,5840234,2851030,Female,Married,50,Govt Job,23,0,4118815,Rural,2.64,0
2,Graduate,Yes,3728421,7380924,6,601,7540381,3029573,Female,Divorced,57,Retired,18,0,1438275,Rural,1.98,0
2,Not Graduate,No,3981811,11781328,12,678,6867411,2200521,Female,Single,41,Govt Job,11,0,8925315,Urban,2.96,1
3,Not Graduate,Yes,8488728,12737290,240,896,1344769,3746395,Male,Single,28,Business,25,0,1441176,Urban,1.5,1
1,Graduate,No,8100300,13629936,12,378,1495475,1066755,Male,Divorced,41,Govt Job,4,0,4398685,Semi-Urban,1.68,0
1,Graduate,No,4848018,4546949,24,731,6563230,3986751,Female,Divorced,43,Salaried,29,0,151424,Semi-Urban,0.94,1
1,Graduate,Yes,5957416,4004089,24,705,1395465,4659010,Male,Divorced,52,Business,16,0,8798712,Urban,0.67,1
4,Graduate,Yes,7653853,4807712,36,405,9844193,3755874,Male,Married,25,Salaried,2,0,2167586,Semi-Urban,0.63,0
2,Graduate,Yes,7455593,1296122,12,809,7758472,2982018,Male,Divorced,51,Salaried,7,0,7243317,Rural,0.17,1
4,Not Graduate,Yes,3151145,8367915,6,315,1112489,3041827,Female,Single,38,Govt Job,11,0,2709684,Semi-Urban,2.66,0
4,Not Graduate,Yes,2928462,344400,12,781,9527247,769996,Male,Divorced,26,Salaried,14,0,4367220,Urban,0.12,1
